year,ccode,corruption_percentile,ROL_percentile,ROL_estimate,voiceaccount_sources
2000,KAZ,9.574467659,13.9303484,-1.150914669,8
2000,KEN,10.10638332,23.38308525,-0.921858788,7
2000,KIR,,79.60198975,0.839712262,2
2000,PRK,3.723404169,17.41293526,-1.066339135,5
2000,KOR,63.29787064,72.63681793,0.83033973,8
2000,XKX,67.55319214,51.24378204,-0.023830879,3
2000,KWT,70.74468231,65.67163849,0.55249095,6
2000,KGZ,15.95744705,23.88059616,-0.906720698,5
2000,LAO,31.9148941,17.91044807,-1.057200789,4
2000,LVA,56.9148941,56.2189064,0.14890109,7
2000,LBN,41.48936081,46.7661705,-0.16597046,5
2000,LSO,52.6595726,53.2338295,0.098110527,5
2000,LBR,11.70212746,0.49751243,-1.880869508,6
2000,LBY,24.46808434,20.39801025,-0.997799516,7
2000,LIE,88.29787445,92.03980255,1.497418046,3
2000,LTU,67.02127838,58.70646667,0.218402535,7
2000,LUX,94.14893341,98.50746155,1.815313816,6
2000,MAC,68.0851059,57.21393204,0.18939881,1
2000,MDG,40.95744705,44.27860641,-0.193513155,6
2000,MWI,48.93616867,34.3283577,-0.527763844,7
2000,MYS,63.82978821,57.71144104,0.195348084,8
2000,MDV,47.3404274,59.20397949,0.253678381,4
2000,MLI,23.40425491,42.78606796,-0.241970614,6
2000,MLT,81.9148941,89.55223846,1.364152908,4
2000,MHL,,79.60198975,0.839712262,2
2000,MTQ,81.38298035,86.06964874,1.230997324,1
2000,MRT,39.89361572,38.80596924,-0.405623823,5
