paid,year,country,ccode1,ccode2,PrevAgmt,PrevAgmt_Bin,Lgt,post_1990,post_2005
1529,2006,Philippines,PHI,PHL,7,1,2,1,1
1530,2012,Philippines,PHI,PHL,8,1,2,1,1
1531,2013,South Sudan ,SSU,SSD,1,1,19,1,1
1532,2004,Burundi,BUI,BDI,6,1,5,1,0
1533,1998,Burundi,BUI,BDI,0,0,5,1,0
1534,1990,Yemen ,YEM,YEM,1,1,2,1,0
1535,2014,Yemen ,YEM,YEM,0,0,6,1,1
1536,2014,Ukraine,UKR,UKR,0,0,1,1,1
1537,2015,Ukraine,UKR,UKR,0,0,3,1,1
1539,1996,Tajikistan,TAJ,TJK,1,1,3,1,0
1542,2016,Sudan,SUD,SDN,18,1,4,1,1
1543,2004,Sudan,SUD,SDN,9,1,3,1,0
1545,2004,Sudan,SUD,SDN,7,1,5,1,0
1546,2004,Sudan,SUD,SDN,8,1,3,1,0
1547,2004,Sudan,SUD,SDN,9,1,33,1,0
1548,2004,Sudan,SUD,SDN,9,1,9,1,0
1549,2004,Sudan,SUD,SDN,9,1,11,1,0
1552,2002,Sudan,SUD,SDN,2,1,2,1,0
1553,2002,Sudan,SUD,SDN,3,1,3,1,0
1554,2005,Sudan,SUD,SDN,13,1,4,1,1
1556,2008,Somalia,SOM,SOM,13,1,1,1,1
1557,1990,Papua New Guinea,PNG,PNG,0,0,1,1,0
1558,1998,Papua New Guinea,PNG,PNG,3,1,13,1,0
1559,1999,Papua New Guinea,PNG,PNG,4,1,1,1,0
1560,1999,Papua New Guinea,PNG,PNG,5,1,3,1,0
1561,2000,Papua New Guinea,PNG,PNG,6,1,3,1,0
1562,2000,Papua New Guinea,PNG,PNG,7,1,1,1,0
1563,1997,Niger,NIR,NER,1,1,2,1,0
1564,1993,Bosnia and Herzegovina,BOS,BIH,0,0,3,1,0
1565,1992,Afghanistan,AFG,AFG,0,0,2,1,0
1566,1994,Bosnia and Herzegovina,BOS,BIH,2,1,26,1,0
1567,1994,Bosnia and Herzegovina,BOS,BIH,1,1,2,1,0
1568,1995,Bosnia and Herzegovina,BOS,BIH,2,1,2,1,0
1569,1995,Bosnia and Herzegovina,BOS,BIH,3,1,2,1,0
1570,1993,Bosnia and Herzegovina,BOS,BIH,0,0,23,1,0
1571,1991,Cambodia ,CAM,KHM,1,1,1,1,0
1572,1990,Colombia,COL,COL,2,1,3,1,0
1573,1990,Colombia,COL,COL,3,1,2,1,0
1574,1990,Colombia,COL,COL,4,1,3,1,0
1575,1991,Colombia,COL,COL,5,1,2,1,0
1576,1997,Comoros,COM,COM,0,0,3,1,0
1578,2000,Colombia,COL,COL,10,1,4,1,0
1579,2013,Colombia,COL,COL,15,1,2,1,1
1580,2015,Colombia,COL,COL,18,1,2,1,1
1581,2015,Colombia,COL,COL,19,1,63,1,1
1582,2003,"Congo, Rep.",CON,COG,2,1,2,1,0
1583,1998,Ecuador ,ECU,ECU,1,1,32,1,0
1591,1992,El Salvador,SAL,SLV,7,1,4,1,0
1592,1994,El Salvador,SAL,SLV,9,1,11,1,0
1593,1993,El Salvador,SAL,SLV,8,1,4,1,0
1594,1994,El Salvador,SAL,SLV,10,1,2,1,0
1596,1992,Georgia,GRG,GEO,0,0,3,1,0
1597,1993,Georgia,GRG,GEO,1,1,2,1,0
1598,1994,Georgia,GRG,GEO,2,1,3,1,0
1599,1998,Guinea Bissau,GNB,GNB,1,1,2,1,0
1600,2002,Indonesia,INS,IDN,0,0,1,1,0
1608,2005,Cote dIvoire,IVO,CIV,4,1,4,1,1
1609,2013,Mali,MLI,MLI,3,1,9,1,1
1610,1995,Mexico,MEX,MEX,0,0,6,1,0
1611,2015,Myanmar ,MYA,MMR,1,1,1,1,1
1613,2011,Myanmar ,MYA,MMR,0,0,1,1,1
1614,1999,"Congo, Rep.",CON,COG,0,0,14,1,0
1615,1996,Mexico,MEX,MEX,1,1,9,1,0
1616,1996,Mexico,MEX,MEX,1,1,36,1,0
1617,1996,Mexico,MEX,MEX,1,1,7,1,0
1618,1996,Mexico,MEX,MEX,1,1,8,1,0
1619,2018,Eritrea ,ERI,ERI,3,1,2,1,1
1620,2018,Eritrea ,ERI,ERI,2,1,1,1,1
1621,2018,Ethiopia,ETH,ETH,0,0,1,1,1
1624,2018,Myanmar ,MYA,1,0,0,,1,1
1625,2018,South Sudan,SSU,SSD,8,1,122,1,1
1639,2019,Mozambique,MZM,MOZ,7,1,17,1,1
1640,1990,Lebanon,LEB,LBN,0,0,8,1,0
1641,2019,Central African Republic,CEN,CAF,0,0,21,1,1
1642,2019,Sudan,SUD,SDN,21,1,5,1,1
1643,2019,Sudan,SUD,SDN,19,1,3,1,1
1644,2019,Sudan,SUD,SDN,22,1,4,1,1
1647,2020,Sudan,SUD,SDN,27,1,245,1,1
1648,2020,Sudan,SUD,SDN,23,1,13,1,1
1649,2020,Sudan,SUD,SDN,24,1,9,1,1
1652,2020,Sudan,SUD,SDN,26,1,1,1,1
1656,2021,Kyrgyzstan ,KYR,KGZ,0,0,1,1,1
1657,2020,South Sudan,SSU,SSD,9,1,4,1,1
1658,2020,Myanmar ,MYA,MMR,3,1,6,1,1
1659,2020,India,IND,IND,1,1,10,1,1
1660,2018,South Sudan,SSU,SSD,7,1,13,1,1
1661,2018,South Sudan,SSU,SSD,6,1,4,1,1
1662,2019,Sudan,SUD,SDN,20,1,3,1,1
1663,2021,Sudan,SUD,SDN,28,1,4,1,1
1646,2020,,,,24,1,,1,1
